id	title	authors	year	journal	abstract	doi	pubmedId	arxivId	pdfUrl	tags	researchLineage	articleType	featured	curationStatus	sourceCV	createdAt	updatedAt
3484	Shaping the Glioblastoma Microenvironment to Enhance CAR-NK Immunotherapy	Emily Tang and Jake Y Chen*	2025	Frontiers in Immunology		10.3389/fimmu.2025.1681966				["Bioinformatics","Cancer","Immunology"]		Journal Article	0	VERIFIED		2026-03-30T12:25:47.370+00:00	2026-03-30T12:25:47.370+00:00
3485	GETgene-AI: a framework for prioritizing actionable cancer drug targets	Adrian Gu and Jake Y. Chen*	2025	Frontiers in Systems Biolology		10.3389/fsysb.2025.1649758				["Drug Discovery","AI/ML","Cancer"]		Journal Article	0	VERIFIED		2026-03-30T12:25:47.371+00:00	2026-03-30T12:25:47.371+00:00
3486	Targeting west nile virus replication by xanthine inhibitors	Theresa H. Nguyen, Jessica L. Smith, Shuklendu D. Karyakarte, John P. Tillotson, Sarah C. Sarngadharan, Fuad Al Abir, Jake Y. Chen, Sixue Zhang, Lynn Rasmussen, Robert Bostwick, Alec J. Hirsch, Corinne E. Augelli-Szafran, Ashish K. Pathak, Omar Mouhka-Chafiq	2025	Medicinal Chemistry Research		10.1007/s00044-025-03481-7				["Drug Discovery"]		Journal Article	0	VERIFIED		2026-03-30T12:25:47.372+00:00	2026-03-30T12:25:47.372+00:00
3487	International Consensus on the Use of Continuous Glucose Monitoring	Klonoff DC, Mader JK, Heinemann L, Cobelli C, Kerr D, Kovatchev B, Najafi B, Prahalad P, Zheng Y, Shao MM, Scheideman AF, DuNova AY, Espinoza J, Kohn M, Umpierrez GE, Wong TY, Abdel Malek A, Agus MSD, Ahn DT, AlSaad R, Al-Sofiani ME, Armstrong D, Arnold MA, Bee YM, Bequette BW, Bellazzi R, Cengiz E, Chase JG, Chen H, Chen JY, Cichosz SL, Cinar A, Clements MA, Close KL, Cuadros J, Contreras I, Datta G, Dhatariya K, Doyle FJ III, Drincic A, Facchinetti A, Fleming GA, Foreman J, Gabbay MAL, Gutierrez-Osuna R, Healey E, Hoang TD, Jacobs PG, Kulzer B, La Belle J, Lee AY, Lee CS, Lee WA, Liepmann D, Maahs D, Mathioudakis N, Meo SA, Metwally AA, Misra S, Mohan V, Moon SJ, Raeder H, Rhee C, Rhee EJ, Scheinker D, Shah VN, Sheng B, Snyder MP, Sode K, Spanakis EK, Svensson J, Vaswani N, Vareth M, Vehi J, Wallia A, Waki K, Wang T, Williams E Jr, Wolf RM, Wong JC, Yeshiwas S, Zilbermint M, Shah SN*	2025	Journal of Diabetes Science and Technology						["Bioinformatics"]		Journal Article	0	VERIFIED		2026-03-30T12:25:47.373+00:00	2026-03-30T12:25:47.373+00:00
3488	LlamaAffinity: A Predictive Antibody Antigen Binding Model Integrating Antibody Sequences with Llama3 Backbone Architecture	Delower Hossain, Ehsan Saghapour, Kevin Song, and Jake Y. Chen*	2025	bioRxiv		10.1101/2025.05.28.653051				["AI/ML","Bioinformatics"]		Journal Article	0	VERIFIED		2026-03-30T12:25:47.373+00:00	2026-03-30T12:25:47.373+00:00
3489	LLM Agent Swarm for Hypothesis-Driven Drug Discovery	Kevin Song, Andrew Trotter, Jake Y. Chen*	2025	arXiv				2504.17967		["Drug Discovery","AI/ML"]		Journal Article	0	VERIFIED		2026-03-30T12:25:47.374+00:00	2026-03-30T12:25:47.374+00:00
3490	Integrative multi-scale network simulation for precision drug repurposing with PETS	Kevin Song and Jake Y. Chen*	2025	bioRxiv		10.1101/2025.02.24.639994				["Drug Discovery","Systems Biology","Multi-omics"]		Journal Article	0	VERIFIED		2026-03-30T12:25:47.375+00:00	2026-03-30T12:25:47.375+00:00
3491	GOALS: Gene Ontology Analysis with Layered Shells for Enhanced Functional Insight and Visualization	Zongliang Yue, Robert S. Welner, Christopher D. Willey, Rajesh Amin, and Jake Y. Chen*	2025	bioRxiv		10.1101/2025.04.22.650095				["Knowledge Networks","Visualization"]		Journal Article	0	VERIFIED		2026-03-30T12:25:47.376+00:00	2026-03-30T12:25:47.376+00:00
3492	KinoViz: A User-Friendly Web Application for High-Throughput Kinome Profiling Analysis and Visualization in Cancer Research	Ehsan Saghapour, JC Anderson, Jake Y. Chen, Christopher D. Willey	2025	Research Square		10.21203/rs.3.rs-6431257/v1				["Cancer","Visualization"]		Journal Article	0	VERIFIED		2026-03-30T12:25:47.376+00:00	2026-03-30T12:25:47.376+00:00
3493	Toden-E: Topology-Based and Density-Based Ensembled Clustering for the Development of Super-PAG in Functional Genomics using PAG Network and LLM	Li Q, Nichols C, Welner RS, Jake Y. Chen, Ku WS, Yue Z	2025	bioRxiv		10.1101/2024.10.20.619308				["AI/ML","Bioinformatics","Systems Biology","Multi-omics"]		Journal Article	0	VERIFIED		2026-03-30T12:25:47.377+00:00	2026-03-30T12:25:47.377+00:00
3494	AI-Driven Network Biology Identifies SRC as a Therapeutic Target in Metastatic Pancreatic Adenocarcinoma	Ayla Zhang and Jake Y. Chen*	2025	Intelligent Oncology		10.1016/j.intonc.2025.06.004				["Drug Discovery","AI/ML","Systems Biology","Cancer"]		Journal Article	0	VERIFIED		2026-03-30T12:25:47.380+00:00	2026-03-30T12:25:47.380+00:00
3495	High-throughput screening for the identification of dual inhibitors of BRD4 and RIPK3 toward the development of small-molecule medical countermeasure agents against arsenicals	Yatchang MF, Zhai L, Moukha-Chafiq O, Mathew B, Abir FA, Zhang S, Ruiz P, McKellip S, Nebane M, Jake Y. Chen, Agarwal A, Bostwick JR, Suto MJ, Athar M, Augelli-Szafran CE	2025	SLAS Discovery		10.1016/j.slasd.2025.100247				["Drug Discovery"]		Journal Article	0	VERIFIED		2026-03-30T12:25:47.381+00:00	2026-03-30T12:25:47.381+00:00
3496	Temporal GeneTerrain: Advancing Precision Medicine Through Dynamic Gene Expression Visualization	Ehsan Saghapour, Rahul Sharma , Delower Hossain, Kevin Song, Zhandos Sembay, and Jake Y Chen*	2025	Frontiers in Bioinformatics		10.3389/fbinf.2025.1602850				["Bioinformatics","Precision Medicine","Visualization"]		Journal Article	0	VERIFIED		2026-03-30T12:25:47.382+00:00	2026-03-30T12:25:47.382+00:00
3497	NeSyDPP4-QSAR: Discovering DPP-4 Inhibitors for Diabetes Treatment with a Neuro-symbolic AI Approach	Delower Hossain, Ehsan Saghapour, and Jake Y. Chen*	2025	Frontiers in Bioinformatics		10.3389/fbinf.2025.1603133				["Drug Discovery","AI/ML","Bioinformatics"]		Journal Article	0	VERIFIED		2026-03-30T12:25:47.382+00:00	2026-03-30T12:25:47.382+00:00
3498	A Study on Neuro-Symbolic Artificial Intelligence: Healthcare Perspectives	Delower Hossain and Jake Y. Chen*	2025	arXiv				2503.18213		["AI/ML"]		Journal Article	0	VERIFIED		2026-03-30T12:25:47.383+00:00	2026-03-30T12:25:47.383+00:00
3499	A Hybrid Chaos-Based Cryptographic Framework for Post-Quantum Secure Communications	Kevin Song, Noorullah Imran, Jake Y. Chen, Allan C. Dobbins	2025	arXiv				2504.08618		["Systems Biology"]		Journal Article	0	VERIFIED		2026-03-30T12:25:47.384+00:00	2026-03-30T12:25:47.384+00:00
3500	MLPA: A Multi-scale Digital Twin Framework for Personalized Cancer Simulation and Treatment Optimization	James Gu and Jake Y. Chen*	2024	bioRxiv		10.1101/2024.09.13.612988				["Precision Medicine","Cancer"]		Journal Article	0	VERIFIED		2026-03-30T12:25:47.384+00:00	2026-03-30T12:25:47.384+00:00
3501	Mondrian Abstraction and Language Model Embeddings for Differential Pathway Analysis	Fuad Al Abir and Jake Y. Chen*	2024	bioRxiv		10.1101/2024.04.11.589093				["AI/ML","Systems Biology","Visualization"]		Journal Article	0	VERIFIED		2026-03-30T12:25:47.385+00:00	2026-03-30T12:25:47.385+00:00
3502	Cell Maps for Artificial Intelligence: AI-Ready Maps of Human Cell Architecture from Disease-Relevant Cell Lines	Clark T, Mohan J, Schaffer L, Obernier K, Al Manir S, Churas CP, Dailamy A, Doctor Y, Forget A, Hansen JN, Hu M, Lenkiewicz J, Levinson MA, Marquez C, Nourreddine S, Niestroy J, Pratt D, Qian G, Thaker S, Bélisle-Pipon JC, Brandt C, Jake Chen, Ding Y, Fodeh S, Krogan N, Lundberg E, Mali P, Payne-Foster P, Ratcliffe S, Ravitsky V, Sali A, Schulz W, Ideker T	2024	bioRxiv		10.1101/2024.05.21.589311				["AI/ML","Immunology"]		Journal Article	0	VERIFIED		2026-03-30T12:25:47.385+00:00	2026-03-30T12:25:47.385+00:00
3503	Pharmacogenomics of Coronary Artery Response to Intravenous Gamma Globulin in Kawasaki Disease	Sadeep Shrestha, Howard Wiener, Sabrina Chowdhury, Hidemi Kajimoto, Vinodh Srinivasasainagendra, Olga Mamaeva, Ujval Brahmbhatt, Dolena Ledee, Yung Lau, Luz Padilla, Jake Chen, Nagib Dahdah, Hemant Tiwari, and Michael Portman	2024	npj Genomic Medicine		10.1038/s41525-024-00419-7				["Bioinformatics","Multi-omics"]		Journal Article	0	VERIFIED		2026-03-30T12:25:47.386+00:00	2026-03-30T12:25:47.386+00:00
3504	An NLP-based Technique to Extract Meaningful Features from Drug SMILES	Rahul Sharma, Ehsan Saghapour, and Jake Y. Chen*	2024	iScience		10.1016/j.isci.2024.109127				["Drug Discovery","AI/ML"]		Journal Article	0	VERIFIED		2026-03-30T12:25:47.387+00:00	2026-03-30T12:25:47.387+00:00
3505	PAGER-scFGA: Unveiling Cell Functions and Molecular Mechanisms in Cell Trajectories through Single-Cell Functional Genomics Analysis	Fengyuan Huang, Robert Welner, Jake Y Chen*, and Zongliang Yue*	2024	Frontiers in Bioinformatics		10.3389/fbinf.2024.1336135				["Bioinformatics","Knowledge Networks","Multi-omics"]		Journal Article	0	VERIFIED		2026-03-30T12:25:47.387+00:00	2026-03-30T12:25:47.387+00:00
3506	Pharmacogenomics of intravenous immunoglobulin response in Kawasaki disease	Sadeep Shrestha, Howard Wiener, Hidemi Kajimoto, Vinodh Srinivasasainagendra, Dolena Ledee, Sabrina Chowdhury, Jinhong Cui, Jake Y. Chen, Mikayla Beckley, Luz Padilla, Nagib Dahdah, Hemant Tiwari, and Michael Portman	2024	Frontiers in Immunology		10.3389/fimmu.2023.1287094				["Bioinformatics","Multi-omics","Immunology"]		Journal Article	0	VERIFIED		2026-03-30T12:25:47.388+00:00	2026-03-30T12:25:47.388+00:00
3507	Photo-neuro-immuno-endocrinology: how the Ultraviolet Radiation Regulates the Body, Mind, and Immune System	Radomir M. Slominski, Jake Y. Chen, Chander Raman, Andrzej Slominski	2024	Proceedings of the National Academy of Sciences		10.1073/pnas.2308374121				["Immunology"]		Journal Article	0	VERIFIED		2026-03-30T12:25:47.388+00:00	2026-03-30T12:25:47.388+00:00
3508	Prioritizing Complex Disease Genes from Heterogeneous Public Databases	Eric Gong and Jake Y. Chen*	2023	Biomedical Sciences Instrumentation		10.1101/2023.02.09.527562				["Knowledge Networks"]		Journal Article	0	VERIFIED		2026-03-30T12:25:47.389+00:00	2026-03-30T12:25:47.389+00:00
3509	Analysis of Cardiac Single-cell RNA-sequencing Data Can be Improved by the Use of Artificial-Intelligence-based Tools	Thanh Nguyen, Yuhua Wei, Yuji Nakada, Jake Y Chen, Yang Zhou, Gregory Walcott, and Jianyi Zhang*	2023	Scientific Reports		10.1038/s41598-023-32293-1				["Bioinformatics"]		Journal Article	0	VERIFIED		2026-03-30T12:25:47.389+00:00	2026-03-30T12:25:47.389+00:00
3510	Biological Network Mining	Zongliang Yue*, Da Yan*, Guimu Guo, and Jake Y. Chen	2023	Biostatistics Research						["Systems Biology"]		Journal Article	0	VERIFIED		2026-03-30T12:25:47.390+00:00	2026-03-30T12:25:47.390+00:00
3511	How Cancer Hijacks the Body’s Homeostasis through the Neuroendocrine System and Why	Radomir M. Slominski, Chander Raman, Jake Y. Chen, and Andrzej T. Slominski*	2023	Trends in Neurosciences		10.1016/j.tins.2023.01.003				["Cancer"]		Journal Article	0	VERIFIED		2026-03-30T12:25:47.390+00:00	2026-03-30T12:25:47.390+00:00
3512	Neuroendocrine Signaling in the Skin with a Special Focus on the Epidermal Neuropeptides	Andrzej T. Slominski, Radomir M.  Slominski, Chander Raman, Jake Y.  Chen, Mohammad Athar, Craig Elmets	2022	American Journal of Physiology-Cell Physiology		10.1152/ajpcell.00147.2022				["Bioinformatics"]		Journal Article	0	VERIFIED		2026-03-30T12:25:47.391+00:00	2026-03-30T12:25:47.391+00:00
3513	WINNER: A network biology tool for biomolecular characterization and prioritization	Thanh Nguyen, Zongliang Yue, Radomir Slominski, Rob Welner, Jay Zhang, Jake Y. Chen*	2022	Frontiers in Big Data		10.3389/fdata.2022.1016606				["Systems Biology"]		Journal Article	0	VERIFIED		2026-03-30T12:25:47.391+00:00	2026-03-30T12:25:47.391+00:00
3514	A Crowdsourcing Approach to Develop Machine Learning Models to Quantify Radiographic Joint Damage in Rheumatoid Arthritis	Dongmei Sun, Thanh M. Nguyen, Robert J. Allaway, Jelai Wang, Verena Chung, Thomas V Yu, Michael Mason, Isaac Dimitrovsky, Lars Ericson, Hongyang Li, Yuanfang Guan, Ariel Israel, Alex Olar, Balint Armin Pataki, RA2 DREAM Challenge Community, Gustavo Stolovitzky, Justin Guinney, Percio S. Gulko, Mason B. Frazier, Jake Y. Chen*, James C. Costello*, and S. Louis Bridges, Jr.*	2022	JAMA Network Open		10.1001/jamanetworkopen.2022.27423				["AI/ML","Systems Biology"]		Journal Article	0	VERIFIED		2026-03-30T12:25:47.392+00:00	2026-03-30T12:25:47.392+00:00
3515	A Novel in vivo Model of Glioblastoma Radiation Resistance Identifies Long Non-coding RNAs and Targetable Kinases	Christian T. Stackhouse, Joshua C. Anderson, Zongliang Yue, Thanh Nguyen, Nicholas J. Eustace, Lara Ianov, Catherine P. Langford, Jelai Wang, James R. Rowland III, Chuan Xing, Fady M. Mikhail, Eddy S. Yang, Anita B. Hjelmeland, C. Ryan Miller, Jake Y. Chen, G. Yancey Gillespie, Christopher D. Willey*	2022	JCI Insight		10.1172/jci.insight.148717				["Bioinformatics","Cancer"]		Journal Article	0	VERIFIED		2026-03-30T12:25:47.392+00:00	2026-03-30T12:25:47.392+00:00
3516	DEMA: a Distance-bounded Energy-field Minimization Algorithm to Model and Layout Bio-molecular Networks with Quantitative Features	Zhenyu Weng, Zongliang Yue, Yuesheng Zhu, and Jake Y. Chen*	2022	Bioinformatics		10.1093/bioinformatics/btac261				["Bioinformatics","Systems Biology","Visualization"]		Journal Article	0	VERIFIED		2026-03-30T12:25:47.393+00:00	2026-03-30T12:25:47.393+00:00
3517	Single Nucleus Transcriptomics: Apical Resection in Newborn Pigs Extends the Time-window of Cardiomyocyte Proliferation and Myocardial Regeneration	Jianyi Zhang*, Yuji Nakada, Yang Zhou, Wuming Gong, Eric Zhang, Erik Skie, Thanh Nguyen, Yuhua Wei, Meng Zhao, Wangping Chen, Jake Y. Chen, Gregory Walcott, Daniel Garry, Jiacheng Sun, and Syed Raza	2022	Circulation		10.1161/CIRCULATIONAHA.121.056995				["Bioinformatics","Multi-omics"]		Journal Article	0	VERIFIED		2026-03-30T12:25:47.393+00:00	2026-03-30T12:25:47.393+00:00
3518	PAGER Web APP: An Interactive, Online Gene Set and Network Interpretation Tool of High-throughput Functional Genomics Results	Zongliang Yue, Radomir Slominski, Samuel Bharti, and Jake Y Chen*	2022	Frontiers in Genetics		10.3389/fgene.2022.820361				["Bioinformatics","Systems Biology","Knowledge Networks","Multi-omics"]		Journal Article	0	VERIFIED		2026-03-30T12:25:47.394+00:00	2026-03-30T12:25:47.394+00:00
3519	Polar Gini Curve: a Quantitative Technique to Discover Gene Expression Spatial Patterns from Single-cell Data	Thanh Nguyen, Jacob Jeevan, Nuo Xu, and Jake Y. Chen*	2022	Genomics, Proteomics & Bioinformatics		10.1016/j.gpb.2020.09.006				["Bioinformatics","Multi-omics"]		Journal Article	0	VERIFIED		2026-03-30T12:25:47.395+00:00	2026-03-30T12:25:47.395+00:00
3520	A Non-redundant Role for T cell-derived IL-22 in Antibacterial Defense of Colonic Crypts	Carlene L. Zindl, Steven J. Witte, Vincent A. Laufer, Min Gao, Zongliang Yue, Karen M. Janowski, Baiyi Cai, Blake F. Frey, Daniel J. Silberger, Stacey N. Harbour, Duy Pham, Henrietta Turner, Fran E. Lund, Bruce A. Vallance, Alexander F. Rosenberg, Trenton R. Schoeb, Jake Y. Chen, Robin T. Hatton and Casey T. Weaver*	2022	Immunity		10.1016/j.immuni.2022.02.003				["Immunology"]		Journal Article	0	VERIFIED		2026-03-30T12:25:47.396+00:00	2026-03-30T12:25:47.396+00:00
3521	Statistical Enrichment Analysis of Samples (SEAS): a General-purpose Tool to Annotate Metadata Neighborhoods of Biological Samples	Thanh Minh Nguyen, Samuel Bharti, Zongliang Yue, Christopher D Willey and Jake Y Chen*	2021	Frontiers in Big Data		10.3389/fdata.2021.725276				["Bioinformatics"]		Journal Article	0	VERIFIED		2026-03-30T12:25:47.396+00:00	2026-03-30T12:25:47.396+00:00
3522	Guest Editorial for Selected Papers From BIOKDD 2019	D. Yan*, S. Thankachan and Jake Y. Chen*	2021	IEEE/ACM Transactions on Computational Biology and Bioinformatics						["Bioinformatics"]		Journal Article	0	VERIFIED		2026-03-30T12:25:47.397+00:00	2026-03-30T12:25:47.397+00:00
3523	Metabolic alterations mediated by STAT3 promotes drug persistence in CML	Sweta B. Patel, Travis Nemkov, Davide Stefanoni, Gloria A. Benavides, Brittany L. Crown, Victoria R. Matkins, Virginia Camacho, Ashley T. Hoang, Danielle E. Tenen, Samuel L. Wolock, Jihye Park, Mahmoud A. Bassal, Li Ying, Zongliang Yue, Jake Y. Chen, Henry Yang, Daniel G. Tenen, Paul Brent Ferrell, Rui Lu, Victor Darley-Usmar, Angelo D’Alessandro, Ravi Bhatia, Robert S. Welner	2021	Leukemia		10.1038/s41375-021-01315-0				["Drug Discovery","Cancer"]		Journal Article	0	VERIFIED		2026-03-30T12:25:47.398+00:00	2026-03-30T12:25:47.398+00:00
3524	Vitamin D and Lumisterol Derivatives Can Act on Liver X Receptors (LXRs)	Andrzej T Slominski, Tae-Kang Kim, Shariq Qayyum, Yuwei Song, Zorica Janjetovic, Allen SW Oak, Radomir M Slominski, Chander Raman, Joanna Stefan, Carlos A Mier-Aguilar, Venkatram Atigadda, David K Crossman, Andriy Golub, Yaroslav Bilokin, Edith K Y Tang, Jake Y. Chen, Robert C Tuckey, Anton M Jetten, Yuhua Song	2021	Scientific Reports		10.1038/s41598-021-90746-x				["Bioinformatics"]		Journal Article	0	VERIFIED		2026-03-30T12:25:47.398+00:00	2026-03-30T12:25:47.398+00:00
3525	Linking Clinotypes to Phenotypes and Genotypes from Laboratory Test Results in Comprehensive Physical Exams	Thanh Nguyen, Tongbin Zhang, Geoffrey Fox, Sisi Zeng, Ni Cao, Chuandi Pan*, and Jake Y. Chen*	2021	BMC Medical Informatics and Decision Making		10.1186/s12911-021-01387-z				["Bioinformatics"]		Journal Article	0	VERIFIED		2026-03-30T12:25:47.399+00:00	2026-03-30T12:25:47.399+00:00
3526	PAGER-CoV: A Comprehensive Collection of Pathways, Annotated-gene-lists, and Gene Signatures for Coronavirus Disease Studies	Zongliang Yue, Eric Zhang, Clark Xu, Sunny Khurana, Nishant Batra, Son Dang, and Jake Y. Chen*	2021	Nucleic Acids Research		10.1093/nar/gkaa1094				["Systems Biology","Knowledge Networks"]		Journal Article	0	VERIFIED		2026-03-30T12:25:47.399+00:00	2026-03-30T12:25:47.399+00:00
3527	Scalable De Novo Genome Assembly Using a Pregel-Like Graph-Parallel System	Guimu Guo, Hongzhi Chen, Da Yan, James Cheng, and Jake Y. Chen	2021	IEEE/ACM Transactions on Computational Biology and Bioinformatics		10.1109/TCBB.2019.2920912				["Bioinformatics","Systems Biology"]		Journal Article	0	VERIFIED		2026-03-30T12:25:47.400+00:00	2026-03-30T12:25:47.400+00:00
3528	Multi-omic Exploration of Inherent and Acquired Radiation Resistance of Glioblastoma Patient-derived Xenografts	C.D. Willey, C.T. Stackhouse, J.R. Rowland, C.P. Langford, J.C. Anderson, L. Ianov, Z. Yue, T. Nguyen, A.B. Hjelmeland, Jake Y. Chen, G.Y. Gillespie	2020	International Journal of Radiation Oncology Biology Physics						["Bioinformatics","Precision Medicine","Cancer","Immunology"]		Journal Article	0	VERIFIED		2026-03-30T12:25:47.400+00:00	2026-03-30T12:25:47.400+00:00
